"Reference","Value","Qty","DNP","Digikey","Digikey2"
"C1","1000 uF @ 16 V","1","","399-A768MS108M1CLAE015CT-ND",""
"C2","10 uF","1","","1276-1075-1-ND",""
"C3,C4,C7","1 uF","3","","1276-3091-1-ND",""
"C5","22 uF","1","","1276-3047-1-ND",""
"D2","PMEG40T30ERX 40V 3A","1","","1727-7481-1-ND","3757-SBA340AL_R1_00001CT-ND"
"F1","Polyfuse 6V, 1.5A I_h, 3A I_t, 500 ms","1","","MINISMDC150F-2CT-ND","F4160CT-ND"
"F2","Polyfuse 16V, 1.25A I_h, 2.5A I_t, 400 ms","1","","MINISMDC150F-2CT-ND","F4160CT-ND"
"FID1,FID2,FID3,FID4","Fiducial","4","","",""
"J4","Conn_01x10_Socket","1","","",""
"JP1,JP2,JP3,JP4","SolderJumper_2_Open","4","","",""
"L1","4.7 uH, 3 A","1","","SRN6045-4R7YCT-ND",""
"Q1","BSS138","1","","4530-BSS138CT-ND",""
"Q3","DMG3415U","1","","DMG3415UDICT-ND",""
"R1,R2","10k","2","","RMCF1206FT10K0CT-ND",""
"R3,R8,R11","100k","3","","311-100KFRCT-ND",""
"R6","100k","1","DNP","311-100KFRCT-ND",""
"R7","750k","1","","311-750KFRCT-ND",""
"R9","100","1","","RMCF1206FG100RCT-ND",""
"R10","6.8k","1","","738-RMCF1206FT6K80CT-ND",""
"TP1,TP2,TP3,TP4,TP5,TP6,TP11,TP12,TP13,TP14,TP15,TP16","TestPoint","12","","",""
"U1","PAM2401","1","","PAM2401SCADJDICT-ND",""
"U4","AP2111H-3.3TRG1","1","","AP2111H-3.3TRG1DICT-ND","AZ1117IH-3.3TRG1DICT-ND"
